script_path,script_name,folder,intent,status_hints,claim_class_or_authority,primary_inputs,primary_outputs,related_episode_or_id,last_mtime,notes
scripts/analysis/all_states_economic_probe.py,all_states_economic_probe.py,analysis,all_states_economic_probe.py — generalizes the SWEEP economic probe to every state-entry decision type with real full-corpus population. READ-ONLY. DESCRIPTIVE ONLY.,READ-ONLY; probe; DESCRIPTIVE_ONLY; no economic,DESCRIPTIVE_ONLY; no economic claim,data/mt5/XAUUSD_M15.csv,results/decision_atlas_full; results/decision_atlas_full/all_states_economic_probe.json,SEM-015,2026-09-06T02:54:41+05:30,
scripts/analysis/all_states_persistence_probe.py,all_states_persistence_probe.py,analysis,all_states_persistence_probe.py — generalizes still_dwelling to every state-entry decision. READ-ONLY. DESCRIPTIVE ONLY.,READ-ONLY; probe; DESCRIPTIVE_ONLY; no economic,DESCRIPTIVE_ONLY; no economic claim,,,SEM-015; CRT,2026-09-06T03:03:40+05:30,
scripts/analysis/b2a_feature_candidate_certification.py,b2a_feature_candidate_certification.py,analysis,"b2a_feature_candidate_certification.py — B2A: candidate-formula CERTIFICATION for FM-030 `ema_spread_atr` and FM-031 `momentum_score_atr` (READ-ONLY, observe-only). B0/B1 (2026-07-12) proved the legacy features `ema_spread` (FM-022) / `momentum_score` (FM-023) carry a dimensional defect (absolute-price numerator / close-relative `atr` → they SCALE with price level) and registered the scale-invariant corrections FM-030/FM-031 as INACTIVE `proposed_correction` entries in configs/formulas/market_ontology.yaml. B2A is the observe-only slice that CERTIFIES those two candidate formulas are mathem...",READ-ONLY; DIAGNOSTIC ONLY; certification; CERTIFICATION; parity,"authority: none,",,,FM-030,2026-07-12T14:39:55+05:30,
scripts/analysis/build_crt_input_authority_matrix.py,build_crt_input_authority_matrix.py,analysis,Build CRT_INPUT_AUTHORITY_MATRIX_V1 + CRT_TRANSITION_COVERAGE_MATRIX_V1 from executable instrumentation evidence + code-declared guard surfaces. READ-ONLY regarding production CRT behavior (reads artifacts + source).,READ-ONLY,,artifacts,,CRT; MSIP,2026-07-14T13:19:16+05:30,
scripts/analysis/build_resolver_overlay.py,build_resolver_overlay.py,analysis,"build_resolver_overlay.py — precompute the CRTStateResolver track for the chart tab. THIN WRAPPER ONLY (CLAUDE.md §3.3): every decision lives in `src/charts/resolver_overlay.py`; this file parses argv, calls the library, and prints. No business logic here.",DESCRIPTIVE_ONLY; no economic,DESCRIPTIVE_ONLY; no economic claim,results/charts/_resolver_cache/<INSTR>__<sha8>__<variant>/; data/mt5/XAUUSD_M15.csv; data/mt5/<INSTRUMENT>_M15.csv; data/mt5/{inst}_M15.csv,results/charts/_resolver_cache/<INSTR>__<sha8>__<variant>/,CRT; XAUUSD,2026-09-10T00:48:08+05:30,
scripts/analysis/crt_config_completeness_census.py,crt_config_completeness_census.py,analysis,"crt_config_completeness_census.py ================================== READ-ONLY: applies the Phase C completeness check (src/config_layer/crt_config_completeness.py) to every file under configs/production/*.json, not just the active one. Why Phase C's completeness primitive is proven against the single active config. Before anyone considers wiring it into the shared production loader as a hard raise, the blast radius needs to be measured, not guessed.",READ-ONLY,,config_layer.crt_config_completeness,,Phase C,2026-08-31T11:08:59+05:30,
scripts/analysis/crt_declare_all_knobs_parity.py,crt_declare_all_knobs_parity.py,analysis,"crt_declare_all_knobs_parity.py ================================ Phase B of the ""CRT single source of truth"" plan (2026-08-31 session). Declares 47 of the 53 CRTConfig fields into `params` (the one authority `crt_engine_v2` reads LAST and therefore actually runs on, per production_config.py's merge order) at their CURRENT RESOLVED value, and proves the change is decision-neutral -- a byte-identical XAUUSD backtest ledger before and after. 5 fields (session_windows, sizing_bands, conf_weights, risk_score_weights, score_component_weights) are excluded because `params` is not type-coerced the ...",parity,,config_layer.crt_config_completeness,the,Phase B; Phase E0; Phase A; Phase D; Phase C; CRT; XAUUSD,2026-08-31T11:06:39+05:30,
scripts/analysis/crt_episode_number_trace.py,crt_episode_number_trace.py,analysis,"crt_episode_number_trace.py ============================ Per-episode, named-value walkthrough of a CRT setup: OHLC -> features (name + value) -> CRT state (name + value) -> SL/TP arithmetic Built to make a trade rejection readable end to end. For each RETEST episode it walks every bar from the SWEEP that opened it through the terminal decision, showing the CRT-consumed features with their values on every bar, the full 39-feature vector with ontology formulas on the decision bars, the state machine's own variables (active_range / sweep / displacement / retest / risk score) with their values,...",READ-ONLY,,config_layer.crt_engine_v2; config_layer.production_config,,CRT; XAUUSD,2026-08-13T18:25:22+05:30,
scripts/analysis/crt_fail_reason_diagnostic.py,crt_fail_reason_diagnostic.py,analysis,CRT try_* fail-reason diagnostic — OBSERVATION_ONLY. Uses default-off FailReasonCounters attached as CRTEngine.baseline_trace. Runs a small deterministic corpus (default: first 3000 post-guard candles of Phase-1 XAUUSD) — NOT a full 47k hash-preservation run.,,,config_layer.production_config; config_layer.crt_engine_v2; data/XAUUSD_M15.csv,,Phase-1; CRT; XAUUSD,2026-07-14T13:33:41+05:30,
scripts/analysis/crt_funnel_diagnostic.py,crt_funnel_diagnostic.py,analysis,"CRT funnel diagnostic — MEASURE ONLY (no threshold / CRT redesign). Mines an existing backtest run's: - *_summary.json (occupancy state_distribution, setups, gap_resets) - *_crt_telemetry.jsonl (TelemetryCollector flush records) - *_events.jsonl (STATE_TRANSITION / RESET / FILTER / TRADE_*) Produces exact transition funnel + expansion/candidate distributions. Default target: cert_xau_phase2 XAUUSD run matching the 1-setup investigation.",MEASURE-ONLY,MEASURE-ONLY,,,CRT; p25; XAUUSD,2026-07-14T13:27:24+05:30,
scripts/analysis/crt_guard_ablation_6m.py,crt_guard_ablation_6m.py,analysis,Episode-level one-predicate counterfactual ablations on the 6-month RB1 window. Disables ONE structural guard at a time via CRTConfig dataclass.replace (in-memory only — production JSON/code untouched). Full BacktestRunner path for trades + RR.,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,dataclass.replace; dataclasses; config_layer.production_config,,CRT; XAUUSD,2026-07-20T02:52:02+05:30,
scripts/analysis/crt_guard_ablation_run.py,crt_guard_ablation_run.py,analysis,Parameterized CRT guard ablation (identical protocol to 6m XAUUSD baseline). Usage: python scripts/analysis/crt_guard_ablation_run.py \ --csv data/XAUUSD_W....csv --instrument XAUUSD \ --label xau_trend_3m --out-dir results/runtime_benchmarks/guard_ablation_xau_trend_3m Production code/JSON never modified. In-memory CRTConfig.replace only.,,,dataclasses; config_layer.production_config; data/XAUUSD_W....csv,results/runtime_benchmarks/guard_ablation_xau_trend_3m,CRT; XAUUSD,2026-07-20T03:16:03+05:30,
scripts/analysis/crt_local_math_authority_probe.py,crt_local_math_authority_probe.py,analysis,OBSERVATION_ONLY probe supporting CRT_LOCAL_MATH_AUTHORITY_RESOLUTION_V1. Does not write production code paths or authorize migration.,probe,,config_layer.crt_engine_v2,,CRT; crt,2026-07-14T16:50:40+05:30,
scripts/analysis/crt_predicate_failure_census_6m.py,crt_predicate_failure_census_6m.py,analysis,Predicate-level failure census for CRT transitions on the 6-month RB1 window. Replays CRTEngine (same config as backtest) with baseline-trace hooks enabled and tallies every guard evaluation for: SWEEP → DISPLACEMENT DISPLACEMENT → EXPANSION EXPANSION → RETEST (+ summary of other transitions) Read-only research script. Does not mutate production code or config.,READ-ONLY,,dataclasses; config_layer.crt_engine_v2; config_layer.production_config,,CRT; XAUUSD,2026-07-20T02:43:26+05:30,
