bar_index,engine_state,resolver_state,category,reason_code
79,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
80,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
81,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
88,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
89,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
92,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
93,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
94,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
95,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
96,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
97,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
99,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
100,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
101,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
107,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
108,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
109,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
123,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
124,DISPLACEMENT,RANGE,B,DISPLACEMENT entry requires engine-aligned SWEEP funnel + sa
125,DISPLACEMENT,RANGE,B,DISPLACEMENT entry requires engine-aligned SWEEP funnel + sa
129,SHADOW_PENDING,RANGE,B,SHADOW_PENDING timing depends on HTF-reset displacement memo
143,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
144,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
145,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
148,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
149,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
152,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
154,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
156,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
157,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
161,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
168,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
170,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
171,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
172,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
173,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
176,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
177,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
180,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
181,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
182,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
192,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
193,RANGE,DISPLACEMENT,B,False-positive narrative from pipeline flags / sticky dwell 
194,RANGE,DISPLACEMENT,B,False-positive narrative from pipeline flags / sticky dwell 
196,SWEEP,SHADOW_PENDING,B,SHADOW_PENDING timing depends on HTF-reset displacement memo
197,SWEEP,SHADOW_PENDING,B,SHADOW_PENDING timing depends on HTF-reset displacement memo
198,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
200,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
201,RANGE,DISPLACEMENT,B,False-positive narrative from pipeline flags / sticky dwell 
202,RANGE,DISPLACEMENT,B,False-positive narrative from pipeline flags / sticky dwell 
204,SWEEP,SHADOW_PENDING,B,SHADOW_PENDING timing depends on HTF-reset displacement memo
205,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
208,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
209,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
220,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
222,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
223,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
224,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
225,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
239,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
240,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
241,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
242,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
244,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
246,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
248,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
249,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
250,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
267,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
268,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
