FEATURE_NAME,DAG_LAYER,DAG_LAYER_NAME,CANONICAL_INDEX,IN_CANONICAL_VECTOR,FORMULA_ID,CURRENT_LEDGER_STATE,CURRENT_DEPENDENCIES,DIRECT_DAG_CONSUMERS,SUPERSESSION_STATUS,D1_IDENTITY,D2_FORMULA,D3_DEPENDENCY,D4_PIT,D5_EVIDENCE,D6_PROVENANCE,D7_PRODUCER,D8_CONSUMER,D9_PRODUCTION_BINDING,D10_ACTIVATION_READINESS,D11_DEBT,D12_FINAL_COMPLETION,DEBT_IDS
close,-1,RAW_INPUT,3,True,,PROMOTED_PRODUCTION,,body_size|disp_strength|displacement_retrace|ema_fast|ema_slow|ema_spread_atr|liquidity_distance|lower_wick|macd_line|momentum_score|momentum_score_atr|retest_depth|rsi_14|trend_strength|true_range|upper_wick|volatility_ratio|volatility_regime,ACTIVE,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NONE,RAW_AUTHORITY_COMPLETE,DEBT-018
high,-1,RAW_INPUT,1,True,,PROMOTED_PRODUCTION,,swing_high|true_range|upper_wick|volatility_regime|wick_size,ACTIVE,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NONE,RAW_AUTHORITY_COMPLETE,DEBT-018
low,-1,RAW_INPUT,2,True,,PROMOTED_PRODUCTION,,lower_wick|swing_low|true_range|volatility_regime|wick_size,ACTIVE,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NONE,RAW_AUTHORITY_COMPLETE,DEBT-018
open,-1,RAW_INPUT,0,True,,PROMOTED_PRODUCTION,,body_size|displacement_retrace|lower_wick|upper_wick,ACTIVE,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NONE,RAW_AUTHORITY_COMPLETE,DEBT-018
timestamp,-1,RAW_INPUT,,False,,PROMOTED_PRODUCTION,,hour_of_day|session,ACTIVE,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NONE,RAW_AUTHORITY_COMPLETE,DEBT-018
volume,-1,RAW_INPUT,4,True,,PROMOTED_PRODUCTION,,volume_ratio,ACTIVE,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NOT_APPLICABLE_RAW,NONE,RAW_AUTHORITY_COMPLETE,DEBT-018
body_size,0,L0_candle_primitive,26,True,FM-001,PROMOTED_PRODUCTION,close|open,body_ratio|disp_strength,ACTIVE,ALIGNED,PASS,PASS,TRIVIAL_SAME_BAR,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-010|DEBT-014
lower_wick,0,L0_candle_primitive,,False,FM-004,PROMOTED_PRODUCTION,close|low|open,total_wick,ACTIVE,ALIGNED,PASS,PASS,TRIVIAL_SAME_BAR,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_COMPONENT_ONLY,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-008|DEBT-010|DEBT-014|DEBT-017
true_range,0,L0_candle_primitive,,False,FM-040,PROMOTED_PRODUCTION,close|high|low,atr,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_COMPONENT_ONLY,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-008|DEBT-010|DEBT-014|DEBT-017
upper_wick,0,L0_candle_primitive,,False,FM-003,PROMOTED_PRODUCTION,close|high|open,total_wick,ACTIVE,ALIGNED,PASS,PASS,TRIVIAL_SAME_BAR,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_COMPONENT_ONLY,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-008|DEBT-010|DEBT-014|DEBT-017
