ID,Name,Category,Location,Purpose,Inputs,Outputs,Dependencies,Used By,Authority,Status,Evidence,Architecture Layer,Notes
INV-001,Agent (GrokAgenticAI),Control surface,src/agent/,"Translate operator NL into audited, confirm-gated tool execution. LLM classifies intent; PLAN_REGISTRY chooses tools.",Operator NL via `python -m src.agent.cli`; production JSON `agent` section,Tool side-effects; logs/agent_audit.jsonl; logs/agent_intent_log.jsonl; logs/agent_sessions/<id>.json,config_layer.production_config (agent section); tool handlers reach core/governance/runtime (documented),Control-plane APIs reading agent audit JSONL; human operator,Operator automation only. LLM never chooses tools. Does not grant promotion or live-order authority.,"PRESENT — operator kitchen, not on per-candle hot path",docs/memory/agent-memory.md; docs/architecture/architecture-memory.md §3.1; docs/reference/agent-reference.md; src/agent/cli.py (~28 .py),AGENT LAYER (architecture-memory.md §1),"Modes (pipeline/copilot/governance/findings/log_query) live under src/agent/modes/ and register tools at import. Counted here, not as a second subsystem."
INV-002,Control Plane,Control surface,src/control_plane/,Localhost catalog + job runner + HTML UI over the same scripts agents invoke.,HTTP GET/POST on localhost:8787; CommandSpec registry,Subprocess jobs; JSON API responses; no broker authority,src/control_plane/registry.py CommandSpec list; scripts launched as jobs,Human browser / HTTP client on localhost,Operator UI. Must stay localhost-only (no auth).,PRESENT — localhost:8787,docs/architecture/architecture-memory.md §3.7; docs/architecture/entry-exit-map.md; src/control_plane/server.py (~11 .py); scripts/control_plane/run_server.py,CONTROL PLANE (architecture-memory.md §1),entry-exit-map notes live.inout_runner command is broken (src/inout/runner.py archived).
INV-003,CLI Scripts Fleet,Control surface,scripts/,Thin CLI wrappers that import src.* — not production logic (conventions.md §2).,argv / argparse; data/ and configs/ depending on script,"Varies by script: results/, logs/, generated docs, registries",src/ packages they import; SITS script registry,Control-plane CommandSpec; agent tools; humans,Inventory/CLI only. Unregistered paths fail GREEN_FLOOR coverage.,"PRESENT — ~385 .py under scripts/ (analysis, research, data, training, governance, live, maintenance, …)",docs/reference/conventions.md §2.1; docs/architecture/entry-exit-map.md; docs/reference/cli-matrix.md; scripts/,EXTERNAL SURFACES (architecture-memory.md §1),"Categories on disk: analysis/, backtest/, context/, control_plane/, data/, evaluation/, export/, governance/, groq_bridge/, live/, maintenance/, metrics/, misc/, multi_llm/, portfolio/, probes/, research/, training/. Not one engine."
INV-004,Core Decision Spine,Decision kernel,src/core/,Per-bar completeness → fusion → semantic decision → capital risk; plus collector and model registry.,"Engine scores {crt, gaussian, zone_gate, rr} + features + context; trade plan + portfolio_state for Ultron",Decision dicts; GateResult APPROVE|REJECT + final_position_size; logs/collector.jsonl,src/engines/*; src/features/feature_schema; production fusion_engine / decision_engine / ultron_risk_gate / engine_runner sections,BacktestRunner; LiveEngineHook; ConfigValidator (via backtest); research.model_runners (observation),Load-bearing economic decision path. EXPECTED_ENGINES must all score or hard-reject. Ultron is sole capital authority (F-048).,PRESENT — exercised in backtest; live caller loop largely uncalled (F-010/F-013/F-073),docs/architecture/architecture-memory.md §3.3; docs/architecture/signal-flow.md; docs/architecture/service-boundary-map.md S3; src/core/engine_runner.py (~21 .py),CORE (DECISION SPINE) (architecture-memory.md §1),"Also contains FeatureStore, RegimeGovernor, AcceptanceController, HierarchicalMetaFusion, TradeNet meta slot. TradeNet fusion neural slot built but unwired (F-005)."
INV-005,Config Layer,Config / meaning,src/config_layer/,"Single production-config truth, CRTConfig factory, pre-promotion validation, execution-plan geometry, LLM client, CRT state machine module.",configs/production/ACTIVE_VERSION → production JSON; candidate params for ConfigValidator,Immutable CRTConfig / section dicts; ValidationReport; ExecutionPlan; CRT state transitions (crt_engine_v2),ACTIVE_VERSION file; production JSON schema in code (CRTConfig / ConfigBuilder),"Runtime, engines, governance, agent, live hook",Tier-0 runtime truth is ACTIVE_VERSION. Fail-fast on missing/tampered config. ConfigValidator APPROVE is required to promote.,PRESENT — ACTIVE_VERSION currently v2_htfcrt_2026_08 (file read 2026-08-26),docs/architecture/architecture-memory.md §3.4; src/config_layer/production_config.py; configs/production/ACTIVE_VERSION; CLAUDE.md §4.0 (~31 .py),CONFIG LAYER (architecture-memory.md §1),"CRT state machine lives here (crt_engine_v2.py), not only in src/engines/crt_engine.py (score wrapper). Planner is ExecutionPlannerV1_2. LLM client is advisory fail-open."
INV-006,CRT State Machine,Scoring / structure,src/config_layer/crt_engine_v2.py + state_identity.py + state_topology.py + parent_crt.py,Name legal market structure (CRTState graph). Golden path RANGE→SWEEP→DISPLACEMENT→EXPANSION→RETEST→EXECUTION→RESOLUTION plus SHADOW_PENDING and EXPIRED. Parent CRT is a disjoint 3-state sub-graph on HTF candles.,M15 Candle stream + crt_engine config; optional ParentCRTFeed.bias,CRTState / direction / TRADE_OPENED events; parent_state bias,state_identity.VALID_TRANSITIONS; candle_math; production crt_engine section; features.parent_candle for HTF,EngineRunner CRT score wrapper; BacktestRunner; LiveEngineHook; CRTStateResolver (separate construction — F-069),"Structure language, not a complete strategy (Sense A). No G001 from structure alone. CRT closure OPEN (F-074).",PRESENT — runtime-reachable; parent-bias REACHABLE but DECISION-NEUTRAL on XAUUSD (F-089); CRT object relations CLOSED,docs/topics/crt-spine.md; docs/memory/engine-memory.md; src/config_layer/state_identity.py; docs/governance/crt_closure_report.md; F-074/F-075/F-089,ENGINES (architecture-memory.md §1),Parent CRT (parent_crt.py) reimplements sweep/impulse geometry in isolation (same pattern as research.weekly_sweep). F-077: Romeo/Sujan 4H CRT ≠ repo H4 ParentCRT ≠ M15 episode.
INV-007,"Scoring Engines (Gaussian, ZoneGate, RR, Trap)",Scoring / structure,src/engines/,"Independent per-engine scores. TrapValidator hard-gate first. Four mandatory engines plus optional ML Gaussian, LLM engine, TradeNet meta.","Canonical feature dict + direction; models/zone_registry.json, rr_model*, gaussian registries","{crt, gaussian, zone_gate, rr} score dicts; REJECT if incomplete","core.engine_runner EXPECTED_ENGINES; core.model_registry (ml_gaussian, tradenet — documented blocker); config_layer.llm_scorer (llm_engine)",FusionEngine via EngineRunner,"Scoring only — not p(win), not an order. rr_fusion.enabled false on active lineage (F-038). use_bitnet false (F-004).",PRESENT — Gaussian live channel information-inert (F-060); ZoneGate NON_PIVOTAL (F-036); RR fusion disabled,docs/memory/engine-memory.md; docs/topics/scoring-engines.md; src/engines/ (~13 .py); docs/architecture/service-boundary-map.md S2,ENGINES (architecture-memory.md §1),CRT score wrapper is engines/crt_engine.py; CRT state machine is config_layer (INV-006).
INV-008,"Feature Schema, Pipeline, Ontology Math",Features,src/features/ + configs/formulas/market_ontology.yaml,"Canonical feature vector identity, pipeline emission, candle geometry, derived math, formula registry. Ontology owns meaning; code owns emission.",Raw OHLCV DataFrame (timestamp/open/high/low/close; volume optional),Canonical feature vector (schema currently 48-dim v5.0 per F-076; older docs still say 38) + hashes; drift stats; dataset artifacts,configs/formulas/market_ontology.yaml; production feature_pipeline section; candle_math; derived_math; features/registry/,"EngineRunner, CRT engine, models, BitNet (if enabled), FeatureStore, research pipelines",Schema hash is load-bearing. New quantities must be registered before local formula math.,PRESENT — Canonical Feature Code Surface CLOSED (38-dim code surface closure artifact); schema later expanded (F-076 39→48),docs/memory/feature-memory.md; docs/topics/feature-schema.md; src/features/feature_schema.py; src/features/feature_pipeline.py (~41 .py),FEATURES (architecture-memory.md §1),"Includes SMC subpackage (INV-009), CRTStateResolver, broker_clock, parent_candle. Docs disagree on dim count (38 vs 48) — recorded, not resolved here."
INV-009,SMC Feature Primitives,Features,src/features/smc/,"Nine smart-money-concept scalars (order block, FVG, breaker, mitigation, PDH-PDL, EQH-EQL, CHoCH). Pure geometry, window-bounded.",OHLC window,ATR-normalized signed tanh-bounded floats; 0.0 when no qualifying structure,None of the spine at import (isolation documented). Consumed by feature_pipeline compute_smc_* steps.,features.feature_pipeline,Canonical features only. No G001. Models trained on ≤39-dim schemas are stale (F-076).,PRESENT — wired into canonical vector (F-076),src/features/smc/__init__.py; F-076; tests covering SMC keys,FEATURES (architecture-memory.md §1),"Isolation: no spine import, no config reads at import time."
INV-010,Governance / Promotion,Governance,src/governance/,"Move research artifacts into production only under ValidationReport.APPROVE + SHA-256 + promotion_log.jsonl. Shadow gate, orchestrator, registries, Semantic OS code, measurement result log.",Approved ValidationReport or tuner checkpoint; version label; csv_paths for re-validation,configs/production/{version}.json; ACTIVE_VERSION; configs/promotion_log.jsonl; models/* via ModelRegistry; logs/governance_audit.jsonl,config_layer.config_validator; runtime.backtest_v2 (documented upward import); production governance section,Agent governance/pipeline modes; control-plane promotion.manager / validation.config_validator / governance.orchestrator,Sole path to change production behavior. Evidence ≠ production authority (Authority Ladder).,"PRESENT — kitchen, not inside per-candle scoring. config_integrity exists but orphaned at runtime (F-006).",docs/memory/governance-memory.md; docs/topics/promotion-governance.md; src/governance/promotion_manager.py (~26 .py),GOVERNANCE (architecture-memory.md §1),"Also hosts Semantic OS registry/grounding, script/hypothesis/framework registries, findings_export, construction-adjacent census modules."
